YYYYMMDD,TIME24HR,MPL3115A2_barometric_pressure_in_pascals,MPL3115A2_temp_in_deg_C,TSL2561_light_in_lux,DHT_humidity_pcnt,DHT_temp_in_deg_C,liquid_flow_frequency,liquid_flow_pulses_cumulative_count,liquid_flow_cumulative_liters,FSR_Analog_reading,FSR_voltage_in_mV,FSR_resistance_in_ohms,FSR_conductance_in_microMhos,FSR_force_in_Newtons,chirp_soil_moisture_capacitance_higher_is_wetter
20141230,20:11:18,92628.00,26.81,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:24,92624.50,26.75,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:29,92623.00,26.75,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:34,92626.25,26.81,6.00,30.70,28.00,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:40,92624.75,26.75,6.00,30.20,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:45,92627.50,26.81,6.00,30.20,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:50,92624.75,26.75,6.00,30.10,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:56,92627.50,26.75,6.00,30.00,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:12:01,92625.25,26.75,6.00,30.00,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:12:06,92625.00,26.75,6.00,30.00,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:12:12,92623.75,26.75,6.00,30.10,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:12:17,92627.00,26.75,6.00,30.20,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:12:22,92626.75,26.75,6.00,30.50,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:12:28,92628.25,26.75,6.00,30.70,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:12:33,92626.75,26.75,6.00,30.60,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:12:38,92624.25,26.75,6.00,30.50,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
